id,rank,display,pos,gloss,example,verdict,note
fr:qui:PRON,15,qui,PRON,"who, which",Qui est-ce ?,,
fr:y:PRON,31,y,PRON,"there, to it",J'y suis.,,
fr:contre:ADP,73,contre,ADP,against,Il est contre cela.,,
fr:trop:ADV,87,trop,ADV,too much,C'est trop bon.,,
fr:année:NOUN,121,une année,NOUN,year,C'est une bonne année.,,
fr:histoire:NOUN,130,une histoire,NOUN,"story, history",C'est toute une histoire.,,
fr:part:NOUN,134,la part,NOUN,"share, part",Il va quelque part dans la ville.,,
fr:prendre:VERB,139,prendre,VERB,to take,Il faut prendre le temps.,,
fr:politique:NOUN,143,la politique,NOUN,politics,Elle veut faire de la politique.,,
fr:seul:ADJ,151,seul,ADJ,"alone, only",Il est seul ici.,,
fr:sens:NOUN,181,le sens,NOUN,"sense, meaning; direction",Cela a du sens.,,
fr:ci:ADV,184,ci,ADV,"here (in celui-ci, cette maison-ci)",Cette maison-ci est grande.,,
fr:jusque:ADP,191,jusqu'à,ADP,"until, up to",Je vais jusqu'à la maison.,,
fr:ni:CCONJ,192,ni,CCONJ,nor,Il n'est ni grand ni petit.,,
fr:aucun:DET,208,aucun,DET,"no, none",Il n'a aucun besoin.,,
fr:niveau:NOUN,220,le niveau,NOUN,level,Le niveau est bon.,,
fr:cause:NOUN,231,la cause,NOUN,cause,C'est la cause du problème.,,
fr:jeune:ADJ,237,jeune,ADJ,young,Elle est jeune.,,
fr:bas:ADJ,240,bas,ADJ,low,Le prix est bas.,,
fr:haut:ADJ,260,haut,ADJ,"high, tall",C'est très haut.,,
fr:arriver:VERB,263,arriver,VERB,to arrive; to happen,Il arrive maintenant.,,
fr:public:ADJ,266,public,ADJ,public,C'est un lieu public.,,
fr:terre:NOUN,269,la terre,NOUN,"earth, land",Il aime la terre.,,
fr:titre:NOUN,270,le titre,NOUN,title,Quel est le titre ?,,
fr:retour:NOUN,283,le retour,NOUN,return,"Après le retour, tout va bien.",,
fr:amour:NOUN,287,l'amour,NOUN,love,L'amour est grand.,,
fr:manière:NOUN,298,la manière,NOUN,"manner, way",Il parle de cette manière.,,
fr:sembler:VERB,301,sembler,VERB,to seem,Cela semble vrai.,,
